1312   	國喬         	199006	       11.24
1313   	聯成         	199006	        5.44
1315   	達新         	199006	        6.62
1326   	台化         	199006	        7.64
1402   	遠東新       	199006	        6.04
1409   	新纖         	199006	        2.93
1410   	南染         	199006	        7.27
1413   	宏洲         	199006	        0.12
1414   	東和         	199006	       -2.97
1416   	廣豐         	199006	        4.91
1417   	嘉裕         	199006	       -7.43
1418   	東華         	199006	        0.77
1419   	新紡         	199006	        4.48
1423   	利華         	199006	       -6.55
1432   	大魯閣       	199006	        4.27
1434   	福懋         	199006	        7.88
1435   	中福         	199006	       -3.44
1436   	華友聯       	199006	       -5.19
1437   	勤益控       	199006	        0.60
1438   	裕豐         	199006	       -2.11
1439   	中和         	199006	       -8.36
1440   	南紡         	199006	        5.67
1441   	大東         	199006	        4.16
1442   	名軒         	199006	        2.44
1443   	立益         	199006	        1.39
1444   	力麗         	199006	       14.73
1445   	大宇         	199006	        7.49
1447   	力鵬         	199006	       15.14
1449   	佳和         	199006	        9.57
1503   	士電         	199006	        9.71
1504   	東元         	199006	       10.91
1506   	正道         	199006	        5.15
1507   	永大         	199006	       18.45
1540   	喬福         	199006	        7.81
1603   	華電         	199006	        2.69
1604   	聲寶         	199006	        1.96
1605   	華新         	199006	        2.92
1608   	華榮         	199006	       23.25
1609   	大亞         	199006	       -9.97
1611   	中電         	199006	        4.51
1701   	中化         	199006	        0.01
1702   	南僑         	199006	        0.30
1704   	榮化         	199006	        0.57
1707   	葡萄王       	199006	       12.20
1708   	東鹼         	199006	        9.72
1709   	和益         	199006	        1.87
1710   	東聯         	199006	       -3.12
1711   	永光         	199006	       10.71
1712   	興農         	199006	        3.55
1713   	國化         	199006	        2.15
1714   	和桐         	199006	        6.25
1718   	中纖         	199006	       -9.98
1721   	三晃         	199006	        5.15
1773   	勝一         	199006	        3.63
1802   	台玻         	199006	        7.51
1805   	寶徠         	199006	        4.26
1806   	冠軍         	199006	       50.79
1902   	台紙         	199006	        0.15
1903   	士紙         	199006	       -2.37
1904   	正隆         	199006	        1.15
1905   	華紙         	199006	        3.12
1907   	永豐餘       	199006	        1.50
1909   	榮成         	199006	       -5.93
2002   	中鋼         	199006	        5.41
2006   	東和鋼鐵     	199006	        5.69
2007   	燁興         	199006	        3.12
2008   	高興昌       	199006	       -0.75
2009   	第一銅       	199006	       -9.02
2010   	春源         	199006	        4.93
2012   	春雨         	199006	        2.89
2013   	中鋼構       	199006	       17.51
2015   	豐興         	199006	        5.37
2017   	官田鋼       	199006	        7.93
2020   	美亞         	199006	       15.11
2022   	聚亨         	199006	      -16.43
2023   	燁輝         	199006	        1.23
2025   	千興         	199006	       -0.03
2101   	南港         	199006	       -0.03
2102   	泰豐         	199006	       -1.59
2103   	台橡         	199006	        4.06
2104   	中橡         	199006	        6.92
2105   	正新         	199006	        6.58
2106   	建大         	199006	        7.96
2108   	南帝         	199006	        2.38
2201   	裕隆         	199006	        6.28
2204   	中華         	199006	       19.63
2302   	麗正         	199006	        0.06
2303   	聯電         	199006	       -4.08
2305   	全友         	199006	        8.93
2308   	台達電       	199006	        4.81
2312   	金寶         	199006	        4.33
2313   	華通         	199006	        9.50
2314   	台揚         	199006	       14.91
2316   	楠梓電       	199006	        7.23
2317   	鴻海         	199006	       11.02
2323   	中環         	199006	        4.04
2337   	旺宏         	199006	        0.77
2371   	大同         	199006	        3.81
2373   	震旦行       	199006	        9.55
2375   	智寶         	199006	        6.21
2462   	良得電       	199006	        6.22
2501   	國建         	199006	       14.10
2504   	國產         	199006	       11.52
2505   	國揚         	199006	       -9.57
2506   	太設         	199006	        0.61
2509   	全坤建       	199006	        7.09
2511   	太子         	199006	        6.30
2520   	冠德         	199006	        8.85
2524   	京城         	199006	       -6.21
2527   	宏璟         	199006	       14.22
2536   	宏普         	199006	       -6.62
2537   	聯上發       	199006	       27.35
2538   	基泰         	199006	      -27.67
2540   	愛山林       	199006	        0.24
2601   	益航         	199006	      -36.79
2603   	長榮         	199006	        4.52
2605   	新興         	199006	        5.77
2606   	裕民         	199006	        9.82
2607   	榮運         	199006	        9.58
2608   	嘉里大榮     	199006	       10.44
2612   	中航         	199006	        9.29
2614   	東森         	199006	        7.04
2701   	萬企         	199006	        0.67
